datetime,open,high,low,close,volume,float
2020-06-11,3.079,3.079,3.059,3.059,0.0,
2020-06-12,3.058,3.067,3.058,3.067,0.0,
2020-06-15,3.067,3.073,3.067,3.073,0.0,
2020-06-16,3.073,3.073,3.059,3.059,0.0,
2020-06-17,3.059,3.071,3.059,3.071,0.0,
2020-06-18,3.07,3.07,3.039,3.039,0.0,
2020-06-19,3.038,3.069,3.038,3.069,0.0,
2020-06-22,3.069,3.069,3.062,3.062,0.0,
2020-06-23,3.061,3.061,3.055,3.055,0.0,
2020-06-24,3.055,3.056,3.055,3.056,0.0,
2020-06-25,3.055,3.055,3.019,3.019,0.0,
2020-06-26,3.018,3.026,3.018,3.026,0.0,
2020-06-29,3.026,3.043,3.026,3.043,0.0,
2020-06-30,3.043,3.043,3.033,3.033,0.0,
2020-07-01,3.032,3.032,3.019,3.019,0.0,
2020-07-02,3.019,3.019,2.997,2.997,0.0,
2020-07-03,2.996,3.007,2.996,3.007,0.0,
2020-07-06,3.006,3.006,2.993,2.993,0.0,
2020-07-07,2.993,2.993,2.957,2.957,0.0,
2020-07-08,2.957,2.957,2.954,2.954,0.0,
2020-07-09,2.953,2.953,2.919,2.919,0.0,
2020-07-10,2.918,2.919,2.918,2.919,0.0,
2020-07-13,2.918,2.918,2.911,2.911,0.0,
2020-07-14,2.911,2.911,2.844,2.844,0.0,
2020-07-15,2.843,2.843,2.83,2.83,0.0,
2020-07-16,2.829,2.891,2.829,2.891,0.0,
2020-07-17,2.889,2.889,2.881,2.881,0.0,
2020-07-20,2.88,2.901,2.88,2.901,0.0,
2020-07-21,2.9,2.9,2.897,2.897,0.0,
2020-07-22,2.897,2.897,2.867,2.867,0.0,
2020-07-23,2.867,2.909,2.867,2.909,0.0,
2020-07-24,2.908,2.908,2.886,2.886,0.0,
2020-07-27,2.886,2.907,2.886,2.907,0.0,
2020-07-28,2.906,2.948,2.906,2.948,0.0,
2020-07-29,2.948,3.057,2.948,3.057,0.0,
2020-07-30,3.057,3.057,2.987,2.987,0.0,
2020-07-31,2.985,2.985,2.966,2.966,0.0,
2020-08-03,2.965,2.97,2.965,2.97,0.0,
2020-08-04,2.969,2.969,2.901,2.901,0.0,
2020-08-05,2.9,2.9,2.86,2.86,0.0,
2020-08-06,2.859,2.871,2.859,2.871,0.0,
2020-08-07,2.869,2.885,2.869,2.885,0.0,
2020-08-10,2.885,2.885,2.869,2.869,0.0,
2020-08-11,2.869,2.877,2.869,2.877,0.0,
2020-08-12,2.877,2.877,2.867,2.867,0.0,
2020-08-13,2.866,2.897,2.866,2.897,0.0,
2020-08-14,2.895,2.895,2.889,2.889,0.0,
2020-08-17,2.888,2.888,2.888,2.888,0.0,
2020-08-18,2.888,2.888,2.888,2.888,0.0,
2020-08-19,2.887,2.894,2.887,2.894,0.0,
2020-08-20,2.893,2.902,2.893,2.902,0.0,
2020-08-21,2.9,2.9,2.886,2.886,0.0,
2020-08-24,2.885,2.9,2.885,2.9,0.0,
2020-08-25,2.899,2.899,2.896,2.896,0.0,
2020-08-26,2.895,2.895,2.893,2.893,0.0,
2020-08-27,2.893,2.893,2.89,2.89,0.0,
2020-08-28,2.888,2.888,2.882,2.882,0.0,
2020-08-31,2.881,2.881,2.873,2.873,0.0,
